AnimalID,Date,Temperature,ActivityScore,FeedingTime,MilkYield,AlertStatus,Month,Year,DayOfWeek
COW0806,2023-01-04 19:07:20.008001600,39.17,64,1.99,5.68,Normal,1,2023,Wednesday
COW0386,2023-01-04 22:37:36.931386277,38.95,68,3.43,6.69,Normal,1,2023,Wednesday
COW1216,2023-01-05 02:07:53.854770954,38.69,94,3.57,8.59,Normal,1,2023,Thursday
COW0956,2023-01-05 05:38:10.778155631,39.6,34,1.55,4.92,Alert,1,2023,Thursday
COW0277,2023-01-05 09:08:27.701540308,37.58,91,3.38,8.28,Normal,1,2023,Thursday
COW1185,2023-01-05 12:38:44.624924985,38.55,95,1.04,2.02,Normal,1,2023,Thursday
COW0460,2023-01-05 16:09:01.548309661,37.91,56,1.67,3.92,Normal,1,2023,Thursday
COW1338,2023-01-05 19:39:18.471694338,39.21,32,2.31,5.89,Normal,1,2023,Thursday
COW0022,2023-01-05 23:09:35.395079015,37.03,9,1.29,3.05,Normal,1,2023,Thursday
COW0253,2023-01-06 02:39:52.318463692,38.48,63,2.53,6.24,Normal,1,2023,Friday
COW0748,2023-01-06 06:10:09.241848369,38.77,72,2.53,6.18,Normal,1,2023,Friday
COW0857,2023-01-06 09:40:26.165233046,37.74,78,1.22,2.08,Normal,1,2023,Friday
COW1585,2023-01-06 13:10:43.088617723,38.0,33,3.28,7.17,Normal,1,2023,Friday
COW0475,2023-01-06 16:41:00.012002400,38.51,87,2.71,5.69,Normal,1,2023,Friday
COW1083,2023-01-06 20:11:16.935387077,39.26,21,1.61,4.12,Normal,1,2023,Friday
COW0511,2023-01-06 23:41:33.858771754,37.67,55,1.31,3.86,Normal,1,2023,Friday
COW1706,2023-01-07 03:11:50.782156431,37.81,76,3.58,8.01,Normal,1,2023,Saturday
COW1500,2023-01-07 06:42:07.705541108,39.4,57,3.43,7.07,Normal,1,2023,Saturday
COW0700,2023-01-07 10:12:24.628925785,38.28,2,1.3,2.38,Normal,1,2023,Saturday
COW0976,2023-01-07 13:42:41.552310462,37.88,13,0.62,2.95,Normal,1,2023,Saturday
COW1807,2023-01-07 17:12:58.475695139,39.08,4,3.32,7.99,Normal,1,2023,Saturday
COW0190,2023-01-07 20:43:15.399079816,38.11,84,2.65,6.41,Normal,1,2023,Saturday
COW0958,2023-01-08 00:13:32.322464492,39.32,50,0.85,1.33,Normal,1,2023,Sunday
COW0687,2023-01-08 03:43:49.245849169,37.97,48,2.56,6.97,Normal,1,2023,Sunday
COW0958,2023-01-08 07:14:06.169233846,38.37,78,2.08,5.08,Normal,1,2023,Sunday
COW0563,2023-01-08 10:44:23.092618523,39.26,30,3.21,7.3,Normal,1,2023,Sunday
COW1900,2023-01-08 14:14:40.016003200,38.32,29,1.23,2.04,Normal,1,2023,Sunday
COW1591,2023-01-08 17:44:56.939387877,39.1,8,2.09,5.6,Normal,1,2023,Sunday
COW1268,2023-01-08 21:15:13.862772554,38.45,12,1.05,2.89,Normal,1,2023,Sunday
COW0832,2023-01-09 00:45:30.786157231,40.09,41,3.85,8.39,Alert,1,2023,Monday
COW1529,2023-01-09 04:15:47.709541908,39.76,26,3.23,9.3,Alert,1,2023,Monday
COW1155,2023-01-09 07:46:04.632926585,37.44,50,3.08,7.06,Normal,1,2023,Monday
COW1509,2023-01-09 11:16:21.556311262,38.92,2,2.92,5.08,Normal,1,2023,Monday
COW1843,2023-01-09 14:46:38.479695939,37.85,55,1.98,6.48,Normal,1,2023,Monday
COW0647,2023-01-09 18:16:55.403080616,38.65,56,3.73,9.22,Normal,1,2023,Monday
COW0021,2023-01-09 21:47:12.326465293,38.55,14,0.76,2.33,Normal,1,2023,Monday
COW0841,2023-01-10 01:17:29.249849970,37.66,6,3.31,9.95,Normal,1,2023,Tuesday
COW0167,2023-01-10 04:47:46.173234647,39.35,95,1.25,2.12,Normal,1,2023,Tuesday
COW1298,2023-01-10 08:18:03.096619323,38.66,81,1.63,4.55,Normal,1,2023,Tuesday
COW0388,2023-01-10 11:48:20.020004000,38.27,89,2.32,6.98,Normal,1,2023,Tuesday
COW0601,2023-01-10 15:18:36.943388677,38.15,61,3.24,7.17,Normal,1,2023,Tuesday
COW0316,2023-01-10 18:48:53.866773354,38.61,96,3.43,10.04,Normal,1,2023,Tuesday
COW0014,2023-01-10 22:19:10.790158031,38.83,12,2.54,4.94,Normal,1,2023,Tuesday
COW0242,2023-01-11 01:49:27.713542708,38.4,13,1.91,4.68,Normal,1,2023,Wednesday
COW0777,2023-01-11 05:19:44.636927385,36.23,19,3.81,8.45,Normal,1,2023,Wednesday
COW1370,2023-01-11 08:50:01.560312062,38.51,44,1.36,4.1,Normal,1,2023,Wednesday
COW0565,2023-01-11 12:20:18.483696739,37.35,89,3.31,7.31,Normal,1,2023,Wednesday
COW0898,2023-01-11 15:50:35.407081416,38.33,95,2.64,5.98,Normal,1,2023,Wednesday
COW1364,2023-01-11 19:20:52.330466093,37.38,59,1.82,3.67,Normal,1,2023,Wednesday
COW0092,2023-01-11 22:51:09.253850770,37.37,37,0.5,0.05,Normal,1,2023,Wednesday
COW1391,2023-01-12 02:21:26.177235447,39.49,25,2.06,4.38,Normal,1,2023,Thursday
COW0956,2023-01-12 05:51:43.100620124,38.24,16,1.47,3.63,Normal,1,2023,Thursday
COW1479,2023-01-12 09:22:00.024004801,38.18,38,0.87,2.07,Normal,1,2023,Thursday
COW1452,2023-01-12 12:52:16.947389477,38.89,43,0.76,1.68,Normal,1,2023,Thursday
COW0509,2023-01-12 16:22:33.870774154,38.2,87,1.72,3.63,Normal,1,2023,Thursday
COW0776,2023-01-12 19:52:50.794158831,40.18,14,2.65,6.27,Alert,1,2023,Thursday
COW1967,2023-01-12 23:23:07.717543508,38.28,6,3.43,6.99,Normal,1,2023,Thursday
COW0035,2023-01-13 02:53:24.640928185,38.79,89,1.14,2.15,Normal,1,2023,Friday
COW0206,2023-01-13 06:23:41.564312862,39.28,23,1.99,4.75,Normal,1,2023,Friday
COW1105,2023-01-13 09:53:58.487697539,39.78,60,1.87,4.97,Alert,1,2023,Friday
COW1956,2023-01-13 13:24:15.411082216,37.91,12,2.3,5.92,Normal,1,2023,Friday
COW1586,2023-01-13 16:54:32.334466893,38.17,13,3.33,7.1,Normal,1,2023,Friday
COW1896,2023-01-13 20:24:49.257851570,39.52,98,2.44,6.53,Alert,1,2023,Friday
COW1412,2023-01-13 23:55:06.181236247,39.15,6,3.46,8.77,Normal,1,2023,Friday
COW1026,2023-01-14 03:25:23.104620924,39.36,63,2.31,7.22,Normal,1,2023,Saturday
COW1022,2023-01-14 06:55:40.028005601,37.41,38,2.61,5.03,Normal,1,2023,Saturday
COW1414,2023-01-14 10:25:56.951390278,39.74,50,2.03,4.94,Alert,1,2023,Saturday
COW0566,2023-01-14 13:56:13.874774955,37.89,52,3.38,9.48,Normal,1,2023,Saturday
COW1130,2023-01-14 17:26:30.798159632,38.65,40,3.73,9.03,Normal,1,2023,Saturday
COW1796,2023-01-14 20:56:47.721544309,38.38,8,2.74,5.94,Normal,1,2023,Saturday
COW1846,2023-01-15 00:27:04.644928985,37.8,61,3.37,7.61,Normal,1,2023,Sunday
COW1501,2023-01-15 03:57:21.568313662,37.37,8,0.71,2.56,Normal,1,2023,Sunday
COW0703,2023-01-15 07:27:38.491698339,37.1,97,3.67,7.63,Normal,1,2023,Sunday
COW0402,2023-01-15 10:57:55.415083016,38.6,34,1.16,2.57,Normal,1,2023,Sunday
COW0730,2023-01-15 14:28:12.338467693,37.28,79,1.4,2.62,Normal,1,2023,Sunday
COW1580,2023-01-15 17:58:29.261852370,37.59,60,0.69,0.92,Normal,1,2023,Sunday
COW0162,2023-01-15 21:28:46.185237047,38.33,57,3.88,10.14,Normal,1,2023,Sunday
COW0202,2023-01-16 00:59:03.108621724,36.39,99,3.48,8.3,Normal,1,2023,Monday
COW1982,2023-01-16 04:29:20.032006401,39.12,46,3.7,9.48,Normal,1,2023,Monday
COW0996,2023-01-16 07:59:36.955391078,36.57,22,3.47,7.43,Normal,1,2023,Monday
COW0270,2023-01-16 11:29:53.878775755,38.44,87,2.18,6.28,Normal,1,2023,Monday
COW1887,2023-01-16 15:00:10.802160432,38.51,40,3.73,9.54,Normal,1,2023,Monday
COW0816,2023-01-16 18:30:27.725545109,38.93,45,3.89,10.96,Normal,1,2023,Monday
COW1295,2023-01-16 22:00:44.648929786,38.47,55,2.26,5.24,Normal,1,2023,Monday
COW0456,2023-01-17 01:31:01.572314463,40.11,51,1.11,3.22,Alert,1,2023,Tuesday
COW1486,2023-01-17 05:01:18.495699139,38.67,86,2.81,7.81,Normal,1,2023,Tuesday
COW1751,2023-01-17 08:31:35.419083816,39.34,5,3.91,10.2,Normal,1,2023,Tuesday
COW1276,2023-01-17 12:01:52.342468493,37.92,95,3.55,10.57,Normal,1,2023,Tuesday
COW1017,2023-01-17 15:32:09.265853170,38.6,13,3.52,7.14,Normal,1,2023,Tuesday
COW1726,2023-01-17 19:02:26.189237847,39.74,28,3.77,9.6,Alert,1,2023,Tuesday
COW0296,2023-01-17 22:32:43.112622524,38.31,84,3.63,8.67,Normal,1,2023,Tuesday
COW1749,2023-01-18 02:03:00.036007201,38.65,97,3.22,7.57,Normal,1,2023,Wednesday
COW0720,2023-01-18 05:33:16.959391878,39.28,80,3.01,9.02,Normal,1,2023,Wednesday
COW1773,2023-01-18 09:03:33.882776555,37.91,62,1.43,2.95,Normal,1,2023,Wednesday
COW0338,2023-01-18 12:33:50.806161232,36.77,93,2.67,7.53,Normal,1,2023,Wednesday
COW0879,2023-01-18 16:04:07.729545909,38.7,87,2.33,4.77,Normal,1,2023,Wednesday
COW1077,2023-01-18 19:34:24.652930586,39.29,24,3.52,9.82,Normal,1,2023,Wednesday
COW0792,2023-01-18 23:04:41.576315263,37.42,98,2.22,5.53,Normal,1,2023,Wednesday
COW1946,2023-01-19 02:34:58.499699940,39.04,7,0.95,2.09,Normal,1,2023,Thursday
COW0217,2023-01-19 06:05:15.423084617,39.04,38,0.52,-0.24,Normal,1,2023,Thursday
COW0764,2023-01-19 09:35:32.346469294,36.68,37,2.87,6.89,Normal,1,2023,Thursday
COW0188,2023-01-19 13:05:49.269853970,37.75,68,2.42,5.36,Normal,1,2023,Thursday
COW0380,2023-01-19 16:36:06.193238647,38.18,98,1.66,5.9,Normal,1,2023,Thursday
COW0493,2023-01-19 20:06:23.116623324,38.36,42,1.09,2.78,Normal,1,2023,Thursday
COW1065,2023-01-19 23:36:40.040008001,37.91,86,2.13,4.73,Normal,1,2023,Thursday
COW1181,2023-01-20 03:06:56.963392678,37.86,5,0.85,1.49,Normal,1,2023,Friday
COW0015,2023-01-20 06:37:13.886777355,39.84,64,1.68,2.84,Alert,1,2023,Friday
COW1837,2023-01-20 10:07:30.810162032,38.41,50,1.83,6.1,Normal,1,2023,Friday
COW0065,2023-01-20 13:37:47.733546709,37.94,87,2.13,6.58,Normal,1,2023,Friday
COW1881,2023-01-20 17:08:04.656931386,38.47,15,2.13,5.26,Normal,1,2023,Friday
COW1863,2023-01-20 20:38:21.580316063,38.93,95,1.4,5.68,Normal,1,2023,Friday
COW0521,2023-01-21 00:08:38.503700740,38.54,73,3.48,8.69,Normal,1,2023,Saturday
COW1368,2023-01-21 03:38:55.427085417,38.34,53,1.74,5.45,Normal,1,2023,Saturday
COW1153,2023-01-21 07:09:12.350470094,37.98,25,1.3,3.82,Normal,1,2023,Saturday
COW0648,2023-01-21 10:39:29.273854771,37.97,89,1.12,2.23,Normal,1,2023,Saturday
COW1496,2023-01-21 14:09:46.197239448,38.02,85,1.63,4.26,Normal,1,2023,Saturday
COW1087,2023-01-21 17:40:03.120624124,38.77,9,0.74,2.22,Normal,1,2023,Saturday
COW1163,2023-01-21 21:10:20.044008801,37.7,38,0.62,0.25,Normal,1,2023,Saturday
COW1523,2023-01-22 00:40:36.967393478,38.81,22,2.62,6.84,Normal,1,2023,Sunday
COW0593,2023-01-22 04:10:53.890778155,39.63,87,2.67,7.82,Alert,1,2023,Sunday
COW0392,2023-01-22 07:41:10.814162832,38.76,49,2.35,5.18,Normal,1,2023,Sunday
COW1699,2023-01-22 11:11:27.737547509,38.2,68,3.17,7.71,Normal,1,2023,Sunday
COW0419,2023-01-22 14:41:44.660932186,37.46,93,0.64,0.49,Normal,1,2023,Sunday
COW0289,2023-01-22 18:12:01.584316863,39.76,15,3.78,8.97,Alert,1,2023,Sunday
COW0379,2023-01-22 21:42:18.507701540,37.56,65,0.83,1.67,Normal,1,2023,Sunday
COW1797,2023-01-23 01:12:35.431086217,39.18,54,2.86,8.73,Normal,1,2023,Monday
COW1514,2023-01-23 04:42:52.354470894,39.01,30,0.97,2.11,Normal,1,2023,Monday
COW0231,2023-01-23 08:13:09.277855571,38.31,93,3.58,8.42,Normal,1,2023,Monday
COW1018,2023-01-23 11:43:26.201240248,38.29,20,2.29,5.63,Normal,1,2023,Monday
COW0041,2023-01-23 15:13:43.124624925,37.03,33,0.79,0.27,Normal,1,2023,Monday
COW1052,2023-01-23 18:44:00.048009602,38.76,86,2.66,4.29,Normal,1,2023,Monday
COW0135,2023-01-23 22:14:16.971394279,39.0,77,0.53,-0.06,Normal,1,2023,Monday
COW0201,2023-01-24 01:44:33.894778955,37.63,7,3.22,8.37,Normal,1,2023,Tuesday
COW1864,2023-01-24 05:14:50.818163632,38.38,8,2.78,6.95,Normal,1,2023,Tuesday
COW0780,2023-01-24 08:45:07.741548309,38.53,28,1.24,3.97,Normal,1,2023,Tuesday
COW0930,2023-01-24 12:15:24.664932986,38.97,45,1.81,3.0,Normal,1,2023,Tuesday
COW1057,2023-01-24 15:45:41.588317663,38.5,73,0.53,1.12,Normal,1,2023,Tuesday
COW1072,2023-01-24 19:15:58.511702340,37.2,89,2.93,5.73,Normal,1,2023,Tuesday
COW0503,2023-01-24 22:46:15.435087017,38.08,80,1.63,4.34,Normal,1,2023,Tuesday
COW0407,2023-01-25 02:16:32.358471694,38.68,74,2.5,4.87,Normal,1,2023,Wednesday
COW1598,2023-01-25 05:46:49.281856371,39.17,11,3.85,9.38,Normal,1,2023,Wednesday
COW1752,2023-01-25 09:17:06.205241048,38.01,31,1.55,4.08,Normal,1,2023,Wednesday
COW0805,2023-01-25 12:47:23.128625725,40.25,12,3.97,9.53,Alert,1,2023,Wednesday
COW0099,2023-01-25 16:17:40.052010402,36.98,95,2.71,4.51,Normal,1,2023,Wednesday
COW0684,2023-01-25 19:47:56.975395079,38.05,78,1.35,5.04,Normal,1,2023,Wednesday
COW1896,2023-01-25 23:18:13.898779756,38.43,51,2.03,4.58,Normal,1,2023,Wednesday
COW0726,2023-01-26 02:48:30.822164433,38.34,44,3.09,6.12,Normal,1,2023,Thursday
COW1571,2023-01-26 06:18:47.745549109,37.51,96,2.06,5.91,Normal,1,2023,Thursday
COW0961,2023-01-26 09:49:04.668933786,38.86,50,0.74,2.65,Normal,1,2023,Thursday
COW1763,2023-01-26 13:19:21.592318463,38.8,17,1.09,2.42,Normal,1,2023,Thursday
COW0613,2023-01-26 16:49:38.515703140,38.54,35,3.27,9.71,Normal,1,2023,Thursday
COW1967,2023-01-26 20:19:55.439087817,38.77,1,2.77,6.18,Normal,1,2023,Thursday
COW1486,2023-01-26 23:50:12.362472494,38.16,29,2.49,6.4,Normal,1,2023,Thursday
COW0643,2023-01-27 03:20:29.285857171,37.21,51,1.09,3.24,Normal,1,2023,Friday
COW1793,2023-01-27 06:50:46.209241848,37.93,64,3.43,10.09,Normal,1,2023,Friday
COW1029,2023-01-27 10:21:03.132626525,38.63,4,3.86,7.71,Normal,1,2023,Friday
COW1242,2023-01-27 13:51:20.056011202,38.63,87,0.64,3.89,Normal,1,2023,Friday
COW0503,2023-01-27 17:21:36.979395879,38.53,28,0.77,3.1,Normal,1,2023,Friday
COW0767,2023-01-27 20:51:53.902780556,38.94,16,3.6,9.45,Normal,1,2023,Friday
COW0398,2023-01-28 00:22:10.826165233,38.04,63,3.35,7.58,Normal,1,2023,Saturday
COW0871,2023-01-28 03:52:27.749549910,38.52,76,2.66,5.77,Normal,1,2023,Saturday
COW0795,2023-01-28 07:22:44.672934587,38.96,53,3.81,9.81,Normal,1,2023,Saturday
COW0393,2023-01-28 10:53:01.596319264,38.43,85,2.76,7.39,Normal,1,2023,Saturday
COW0207,2023-01-28 14:23:18.519703941,37.51,17,1.26,3.51,Normal,1,2023,Saturday
COW1039,2023-01-28 17:53:35.443088618,37.73,40,3.05,7.78,Normal,1,2023,Saturday
COW1882,2023-01-28 21:23:52.366473294,39.16,13,2.76,7.33,Normal,1,2023,Saturday
COW1578,2023-01-29 00:54:09.289857971,39.61,52,3.95,7.69,Alert,1,2023,Sunday
COW0892,2023-01-29 04:24:26.213242648,39.44,58,1.25,2.86,Normal,1,2023,Sunday
COW1485,2023-01-29 07:54:43.136627325,38.69,96,2.59,5.09,Normal,1,2023,Sunday
COW1715,2023-01-29 11:25:00.060012002,37.54,37,3.23,8.03,Normal,1,2023,Sunday
COW1599,2023-01-29 14:55:16.983396679,38.49,79,1.69,5.53,Normal,1,2023,Sunday
COW0864,2023-01-29 18:25:33.906781356,39.75,76,1.83,3.67,Alert,1,2023,Sunday
COW0743,2023-01-29 21:55:50.830166033,38.99,61,3.61,8.32,Normal,1,2023,Sunday
COW1265,2023-01-30 01:26:07.753550710,38.33,79,1.91,3.93,Normal,1,2023,Monday
COW0564,2023-01-30 04:56:24.676935387,39.0,34,2.69,6.01,Normal,1,2023,Monday
COW1021,2023-01-30 08:26:41.600320064,37.48,70,3.61,9.58,Normal,1,2023,Monday
COW0096,2023-01-30 11:56:58.523704741,37.94,17,1.23,3.86,Normal,1,2023,Monday
COW1924,2023-01-30 15:27:15.447089418,37.63,20,3.94,11.32,Normal,1,2023,Monday
COW1758,2023-01-30 18:57:32.370474095,38.88,73,2.96,6.39,Normal,1,2023,Monday
COW0485,2023-01-30 22:27:49.293858772,39.07,59,2.24,6.28,Normal,1,2023,Monday
COW1431,2023-01-31 01:58:06.217243448,38.38,69,2.01,5.88,Normal,1,2023,Tuesday
COW0231,2023-01-31 05:28:23.140628125,37.8,87,3.84,11.25,Normal,1,2023,Tuesday
COW0749,2023-01-31 08:58:40.064012802,38.48,33,1.22,2.12,Normal,1,2023,Tuesday
COW1679,2023-01-31 12:28:56.987397479,38.11,78,1.59,1.97,Normal,1,2023,Tuesday
COW1195,2023-01-31 15:59:13.910782156,37.86,17,1.58,3.67,Normal,1,2023,Tuesday
COW0541,2023-01-31 19:29:30.834166833,38.77,57,1.51,6.58,Normal,1,2023,Tuesday
COW1060,2023-01-31 22:59:47.757551510,37.89,83,2.14,4.25,Normal,1,2023,Tuesday
COW0525,2023-02-01 02:30:04.680936187,37.25,97,3.96,10.39,Normal,2,2023,Wednesday
COW1184,2023-02-01 06:00:21.604320864,37.42,1,3.61,6.81,Normal,2,2023,Wednesday
COW1863,2023-02-01 09:30:38.527705541,37.22,13,1.65,5.94,Normal,2,2023,Wednesday
COW1723,2023-02-01 13:00:55.451090218,38.7,27,1.98,3.07,Normal,2,2023,Wednesday
COW1267,2023-02-01 16:31:12.374474895,38.62,70,2.84,4.71,Normal,2,2023,Wednesday
COW1110,2023-02-01 20:01:29.297859572,38.58,59,0.56,1.5,Normal,2,2023,Wednesday
COW1820,2023-02-01 23:31:46.221244249,38.97,6,3.37,8.54,Normal,2,2023,Wednesday
COW0578,2023-02-02 03:02:03.144628926,39.45,97,3.58,10.37,Normal,2,2023,Thursday
COW0682,2023-02-02 06:32:20.068013603,38.03,94,3.5,9.6,Normal,2,2023,Thursday
COW0557,2023-02-02 10:02:36.991398279,38.83,99,1.81,2.52,Normal,2,2023,Thursday
COW1598,2023-02-02 13:32:53.914782956,37.24,23,2.12,5.15,Normal,2,2023,Thursday
COW1977,2023-02-02 17:03:10.838167633,39.6,10,0.54,0.65,Alert,2,2023,Thursday
COW1013,2023-02-02 20:33:27.761552310,37.5,51,1.9,3.41,Normal,2,2023,Thursday
COW0646,2023-02-03 00:03:44.684936987,37.93,19,2.11,5.71,Normal,2,2023,Friday
COW0796,2023-02-03 03:34:01.608321664,38.02,51,3.67,10.22,Normal,2,2023,Friday
COW1052,2023-02-03 07:04:18.531706341,37.28,92,3.63,8.27,Normal,2,2023,Friday
COW1644,2023-02-03 10:34:35.455091018,38.53,87,3.88,9.37,Normal,2,2023,Friday
COW1580,2023-02-03 14:04:52.378475695,38.67,68,3.6,8.73,Normal,2,2023,Friday
COW1364,2023-02-03 17:35:09.301860372,38.35,84,0.53,0.66,Normal,2,2023,Friday
COW1822,2023-02-03 21:05:26.225245049,37.27,83,2.75,6.45,Normal,2,2023,Friday
COW1982,2023-02-04 00:35:43.148629726,40.09,42,0.74,1.19,Alert,2,2023,Saturday
COW1355,2023-02-04 04:06:00.072014403,38.94,91,1.45,3.75,Normal,2,2023,Saturday
COW1664,2023-02-04 07:36:16.995399080,40.61,57,2.52,5.71,Alert,2,2023,Saturday
COW1530,2023-02-04 11:06:33.918783757,37.86,98,2.95,7.8,Normal,2,2023,Saturday
COW1372,2023-02-04 14:36:50.842168433,39.27,68,2.79,6.38,Normal,2,2023,Saturday
COW1497,2023-02-04 18:07:07.765553110,39.12,38,0.67,2.32,Normal,2,2023,Saturday
COW1255,2023-02-04 21:37:24.688937787,38.27,62,0.86,1.54,Normal,2,2023,Saturday
COW0190,2023-02-05 01:07:41.612322464,39.63,7,0.95,2.98,Alert,2,2023,Sunday
COW1249,2023-02-05 04:37:58.535707141,38.18,71,0.82,1.2,Normal,2,2023,Sunday
COW1409,2023-02-05 08:08:15.459091818,38.21,50,1.12,3.69,Normal,2,2023,Sunday
COW1401,2023-02-05 11:38:32.382476495,35.72,52,2.91,5.5,Normal,2,2023,Sunday
COW1307,2023-02-05 15:08:49.305861172,38.83,26,3.41,8.52,Normal,2,2023,Sunday
COW1982,2023-02-05 18:39:06.229245849,37.44,26,1.93,4.26,Normal,2,2023,Sunday
COW0633,2023-02-05 22:09:23.152630526,38.06,19,2.92,7.25,Normal,2,2023,Sunday
COW0628,2023-02-06 01:39:40.076015203,37.68,9,1.2,1.81,Normal,2,2023,Monday
COW0973,2023-02-06 05:09:56.999399880,38.21,61,3.91,9.58,Normal,2,2023,Monday
COW1769,2023-02-06 08:40:13.922784557,38.86,20,1.72,3.19,Normal,2,2023,Monday
COW1283,2023-02-06 12:10:30.846169234,38.51,50,3.46,8.41,Normal,2,2023,Monday
COW1383,2023-02-06 15:40:47.769553911,39.07,80,3.81,9.19,Normal,2,2023,Monday
COW0710,2023-02-06 19:11:04.692938588,39.51,81,3.53,9.15,Alert,2,2023,Monday
COW1480,2023-02-06 22:41:21.616323264,38.2,22,0.73,1.89,Normal,2,2023,Monday
COW1435,2023-02-07 02:11:38.539707941,38.12,13,2.78,8.83,Normal,2,2023,Tuesday
COW0649,2023-02-07 05:41:55.463092618,39.27,12,0.92,1.79,Normal,2,2023,Tuesday
COW0318,2023-02-07 09:12:12.386477295,39.33,10,0.52,1.17,Normal,2,2023,Tuesday
COW1701,2023-02-07 12:42:29.309861972,39.09,65,0.68,4.88,Normal,2,2023,Tuesday
COW1249,2023-02-07 16:12:46.233246649,37.74,96,3.71,9.05,Normal,2,2023,Tuesday
COW1843,2023-02-07 19:43:03.156631326,38.84,30,3.68,10.15,Normal,2,2023,Tuesday
COW1258,2023-02-07 23:13:20.080016003,38.59,8,1.29,3.8,Normal,2,2023,Tuesday
COW0684,2023-02-08 02:43:37.003400680,39.34,21,2.41,8.36,Normal,2,2023,Wednesday
COW0664,2023-02-08 06:13:53.926785357,38.04,22,3.84,8.17,Normal,2,2023,Wednesday
COW1999,2023-02-08 09:44:10.850170034,37.17,18,2.24,4.06,Normal,2,2023,Wednesday
COW1851,2023-02-08 13:14:27.773554711,39.05,66,1.88,3.58,Normal,2,2023,Wednesday
COW1398,2023-02-08 16:44:44.696939388,36.45,48,2.19,5.65,Normal,2,2023,Wednesday
COW1696,2023-02-08 20:15:01.620324065,37.91,44,3.27,7.17,Normal,2,2023,Wednesday
COW1632,2023-02-08 23:45:18.543708742,37.68,9,2.17,3.29,Normal,2,2023,Wednesday
COW1496,2023-02-09 03:15:35.467093418,37.68,67,3.24,7.18,Normal,2,2023,Thursday
COW1257,2023-02-09 06:45:52.390478095,37.9,54,2.01,5.39,Normal,2,2023,Thursday
COW1716,2023-02-09 10:16:09.313862772,39.47,26,1.38,2.55,Normal,2,2023,Thursday
COW1137,2023-02-09 13:46:26.237247449,39.16,85,1.64,5.24,Normal,2,2023,Thursday
COW1854,2023-02-09 17:16:43.160632126,38.3,94,0.77,0.8,Normal,2,2023,Thursday
COW1521,2023-02-09 20:47:00.084016803,39.41,92,2.24,5.61,Normal,2,2023,Thursday
COW0442,2023-02-10 00:17:17.007401480,37.65,26,1.02,2.16,Normal,2,2023,Friday
COW0564,2023-02-10 03:47:33.930786157,37.54,34,3.34,8.54,Normal,2,2023,Friday
COW1292,2023-02-10 07:17:50.854170834,39.19,8,1.97,5.21,Normal,2,2023,Friday
